DIBARI;30;0;;0;0;0;0;0;0;0;0;0;
CENTENARI;30;0;;0;0;0;0;0;0;0;0;0;
CARAFA;30;0;;0;0;0;0;0;0;0;0;0;
COLOMBARINI;30;0;;0;0;0;0;0;0;0;0;0;
STEFANONI;30;0;;0;0;0;0;0;0;0;0;0;
CREMA;30;0;;0;0;0;0;0;0;0;0;0;
BOVINO;29;0;;0;0;0;0;0;0;0;0;0;
TOGNUTTI;29;0;;0;0;0;0;0;0;0;0;0;
MILAZZO;29;0;;0;0;0;0;0;0;0;0;0;
LONGOBARDI;28;0;;0;0;0;0;0;0;0;0;0;
VASSALLO;28;0;;0;0;0;0;0;0;0;0;0;
BRIZZOLARA;28;0;;0;0;0;0;0;0;0;0;0;
VESPA;27;0;;0;0;0;0;0;0;0;0;0;
PAPURELLO;27;0;;0;0;0;0;0;0;0;0;0;
IACOVELLI;27;0;;0;0;0;0;0;0;0;0;0;
POLINI;27;0;;0;0;0;0;0;0;0;0;0;
NISI;27;0;;0;0;0;0;0;0;0;0;0;
FURINO;27;0;;0;0;0;0;0;0;0;0;0;
ARONICA;27;0;;0;0;0;0;0;0;0;0;0;
MONEGHETTI;27;0;;0;0;0;0;0;0;0;0;0;
COLOMBINI;27;0;;0;0;0;0;0;0;0;0;0;
SPIRIDIONI;26;0;;0;0;0;0;0;0;0;0;0;
BAGATO;26;0;;0;0;0;0;0;0;0;0;0;
MACCIONI;26;0;;0;0;0;0;0;0;0;0;0;
RUTELLI;26;0;;0;0;0;0;0;0;0;0;0;
MASSIGNANI;26;0;;0;0;0;0;0;0;0;0;0;
ALLIATA;26;0;;0;0;0;0;0;0;0;0;0;
SIMBENI;25;0;;0;0;0;0;0;0;0;0;0;
MALATERRA;25;0;;0;0;0;0;0;0;0;0;0;
BADESSO;25;0;;0;0;0;0;0;0;0;0;0;
QUARTARONE;25;0;;0;0;0;0;0;0;0;0;0;
SCHISANO;25;0;;0;0;0;0;0;0;0;0;0;
BERLINGUER;24;0;;0;0;0;0;0;0;0;0;0;
VICINI;24;0;;0;0;0;0;0;0;0;0;0;
SCOLLO;24;0;;0;0;0;0;0;0;0;0;0;
TUCCI;24;0;;0;0;0;0;0;0;0;0;0;
VAILATI;24;0;;0;0;0;0;0;0;0;0;0;
TAINO;24;0;;0;0;0;0;0;0;0;0;0;
SCIOSCIA;24;0;;0;0;0;0;0;0;0;0;0;
VERRAZZANI;24;0;;0;0;0;0;0;0;0;0;0;
SERATI;23;0;;0;0;0;0;0;0;0;0;0;
DEGAN;23;0;;0;0;0;0;0;0;0;0;0;
TOREGIANI;23;0;;0;0;0;0;0;0;0;0;0;
NACAR;23;0;;0;0;0;0;0;0;0;0;0;
GLORIOSO;23;0;;0;0;0;0;0;0;0;0;0;
SCARONI;23;0;;0;0;0;0;0;0;0;0;0;
BOCA;22;0;;0;0;0;0;0;0;0;0;0;
ROMEI;22;0;;0;0;0;0;0;0;0;0;0;
GRADA;22;0;;0;0;0;0;0;0;0;0;0;
FORTUNATO;22;0;;0;0;0;0;0;0;0;0;0;
GANZERLA;22;0;;0;0;0;0;0;0;0;0;0;
DIONIGI;22;0;;0;0;0;0;0;0;0;0;0;
TURCHETTA;21;0;;0;0;0;0;0;0;0;0;0;
PANGALLI;21;0;;0;0;0;0;0;0;0;0;0;
POMPILIO;21;0;;0;0;0;0;0;0;0;0;0;
MIRABILI;21;0;;0;0;0;0;0;0;0;0;0;
IULIANO;21;0;;0;0;0;0;0;0;0;0;0;
ANZILUTTI;21;0;;0;0;0;0;0;0;0;0;0;
PAOLAZZI;21;0;;0;0;0;0;0;0;0;0;0;
SOLDATI;21;0;;0;0;0;0;0;0;0;0;0;
GERMINARIO;21;0;;0;0;0;0;0;0;0;0;0;
MARAZZINI;21;0;;0;0;0;0;0;0;0;0;0;
ZULIANI;21;0;;0;0;0;0;0;0;0;0;0;
ABBATELLI;21;0;;0;0;0;0;0;0;0;0;0;
MUSACCO;20;0;;0;0;0;0;0;0;0;0;0;
BERLINGHIERI;20;0;;0;0;0;0;0;0;0;0;0;
BOMBARDIERI;20;0;;0;0;0;0;0;0;0;0;0;
PADOVAN;20;0;;0;0;0;0;0;0;0;0;0;
DUTTI;20;0;;0;0;0;0;0;0;0;0;0;
BIAMONTE;20;0;;0;0;0;0;0;0;0;0;0;
CASA;20;0;;0;0;0;0;0;0;0;0;0;
GERAVINI;20;0;;0;0;0;0;0;0;0;0;0;
PIANI;20;0;;0;0;0;0;0;0;0;0;0;
RAI;20;0;;0;0;0;0;0;0;0;0;0;
BUONI;20;0;;0;0;0;0;0;0;0;0;0;
FIORESI;19;0;;0;0;0;0;0;0;0;0;0;
MURABITO;19;0;;0;0;0;0;0;0;0;0;0;
CARO;19;0;;0;0;0;0;0;0;0;0;0;
MARCUCCIO;19;0;;0;0;0;0;0;0;0;0;0;
NUSCO;19;0;;0;0;0;0;0;0;0;0;0;
IAQUINTA;19;0;;0;0;0;0;0;0;0;0;0;
CORDINI;19;0;;0;0;0;0;0;0;0;0;0;
PANIGATTI;19;0;;0;0;0;0;0;0;0;0;0;
NIERO;19;0;;0;0;0;0;0;0;0;0;0;
ANTONIOTTI;18;0;;0;0;0;0;0;0;0;0;0;
GROTTAGLIE;18;0;;0;0;0;0;0;0;0;0;0;
ROFFI;18;0;;0;0;0;0;0;0;0;0;0;
ROTONDI;18;0;;0;0;0;0;0;0;0;0;0;
FARRI;18;0;;0;0;0;0;0;0;0;0;0;
RONCATI;18;0;;0;0;0;0;0;0;0;0;0;
GUERNIERI;18;0;;0;0;0;0;0;0;0;0;0;
PORCEDDA;18;0;;0;0;0;0;0;0;0;0;0;
PARESCHI;18;0;;0;0;0;0;0;0;0;0;0;
ANGELO;18;0;;0;0;0;0;0;0;0;0;0;
ALDUINI;18;0;;0;0;0;0;0;0;0;0;0;
MEMOLA;18;0;;0;0;0;0;0;0;0;0;0;
BARBANERA;18;0;;0;0;0;0;0;0;0;0;0;
AJALA;18;0;;0;0;0;0;0;0;0;0;0;
TAM;18;0;;0;0;0;0;0;0;0;0;0;
GIANCIPOLI;18;0;;0;0;0;0;0;0;0;0;0;
SERNESI;17;0;;0;0;0;0;0;0;0;0;0;
BORTINI;17;0;;0;0;0;0;0;0;0;0;0;
SCORDO;17;0;;0;0;0;0;0;0;0;0;0;
TUCCERI;17;0;;0;0;0;0;0;0;0;0;0;
GALLINARO;17;0;;0;0;0;0;0;0;0;0;0;
SCURI;17;0;;0;0;0;0;0;0;0;0;0;
RAIMONDO;17;0;;0;0;0;0;0;0;0;0;0;
PELLETTI;17;0;;0;0;0;0;0;0;0;0;0;
VOLPINO;17;0;;0;0;0;0;0;0;0;0;0;
BRUSCA;17;0;;0;0;0;0;0;0;0;0;0;
TAGLIERI;17;0;;0;0;0;0;0;0;0;0;0;
PAVONE;17;0;;0;0;0;0;0;0;0;0;0;
MAGLIOCCA;16;0;;0;0;0;0;0;0;0;0;0;
TURATI;16;0;;0;0;0;0;0;0;0;0;0;
FAZII;16;0;;0;0;0;0;0;0;0;0;0;
VEDDA;16;0;;0;0;0;0;0;0;0;0;0;
RAPALLO;16;0;;0;0;0;0;0;0;0;0;0;
BREMBILLA;16;0;;0;0;0;0;0;0;0;0;0;
BAGIACCHI;16;0;;0;0;0;0;0;0;0;0;0;
MUSSI;16;0;;0;0;0;0;0;0;0;0;0;
PELLETTIERI;16;0;;0;0;0;0;0;0;0;0;0;
CACCIOPPINI;16;0;;0;0;0;0;0;0;0;0;0;
BUSSO;16;0;;0;0;0;0;0;0;0;0;0;
GALIARDI;15;0;;0;0;0;0;0;0;0;0;0;
GUARIBERTO;15;0;;0;0;0;0;0;0;0;0;0;
ALESINA;15;0;;0;0;0;0;0;0;0;0;0;
MATTEI;15;0;;0;0;0;0;0;0;0;0;0;
TIOZZO;15;0;;0;0;0;0;0;0;0;0;0;
GERARI;15;0;;0;0;0;0;0;0;0;0;0;
ARCIDIACONO;15;0;;0;0;0;0;0;0;0;0;0;
FANTINO;15;0;;0;0;0;0;0;0;0;0;0;
SCARRAFONI;15;0;;0;0;0;0;0;0;0;0;0;
ZAMPRONI;15;0;;0;0;0;0;0;0;0;0;0;
TRAVERSINI;15;0;;0;0;0;0;0;0;0;0;0;
MERZARIO;15;0;;0;0;0;0;0;0;0;0;0;
TAFURI;15;0;;0;0;0;0;0;0;0;0;0;
ZAPPALA';15;0;;0;0;0;0;0;0;0;0;0;
LASPINA;14;0;;0;0;0;0;0;0;0;0;0;
PARTELE;14;0;;0;0;0;0;0;0;0;0;0;
NERI;14;0;;0;0;0;0;0;0;0;0;0;
PASSONI;14;0;;0;0;0;0;0;0;0;0;0;
FINI;14;0;;0;0;0;0;0;0;0;0;0;
BECCARINI;14;0;;0;0;0;0;0;0;0;0;0;
LANDRIANI;14;0;;0;0;0;0;0;0;0;0;0;
TASCINI;14;0;;0;0;0;0;0;0;0;0;0;
FOSSALI;14;0;;0;0;0;0;0;0;0;0;0;
TUFANISCO;13;0;;0;0;0;0;0;0;0;0;0;
CENTAMORI;13;0;;0;0;0;0;0;0;0;0;0;
GISMONDI;13;0;;0;0;0;0;0;0;0;0;0;
OLIVETTI;13;0;;0;0;0;0;0;0;0;0;0;
VALERIANO;13;0;;0;0;0;0;0;0;0;0;0;
RIGOTTI;13;0;;0;0;0;0;0;0;0;0;0;
BARBARINI;13;0;;0;0;0;0;0;0;0;0;0;
GORETTA;13;0;;0;0;0;0;0;0;0;0;0;
RUBANO;13;0;;0;0;0;0;0;0;0;0;0;
SETTIMI;13;0;;0;0;0;0;0;0;0;0;0;
MORICO;12;0;;0;0;0;0;0;0;0;0;0;
SIANO;12;0;;0;0;0;0;0;0;0;0;0;
CATTANEO;12;0;;0;0;0;0;0;0;0;0;0;
GIANI;12;0;;0;0;0;0;0;0;0;0;0;
STUCCHI;12;0;;0;0;0;0;0;0;0;0;0;
TACCHI;12;0;;0;0;0;0;0;0;0;0;0;
TRAININI;12;0;;0;0;0;0;0;0;0;0;0;
NASCIMBENI;12;0;;0;0;0;0;0;0;0;0;0;
PEDRAZZINI;12;0;;0;0;0;0;0;0;0;0;0;
PAPPA;12;0;;0;0;0;0;0;0;0;0;0;
SIGNORI;11;0;;0;0;0;0;0;0;0;0;0;
PACCIANI;11;0;;0;0;0;0;0;0;0;0;0;
BRANDOARDI;11;0;;0;0;0;0;0;0;0;0;0;
MARTELLENGHI;11;0;;0;0;0;0;0;0;0;0;0;
LAPI;11;0;;0;0;0;0;0;0;0;0;0;
D'ANGELO;11;0;;0;0;0;0;0;0;0;0;0;
PARAZZOLI;11;0;;0;0;0;0;0;0;0;0;0;
SALADINO;11;0;;0;0;0;0;0;0;0;0;0;
MARCONATO;11;0;;0;0;0;0;0;0;0;0;0;
FACCIOLO;11;0;;0;0;0;0;0;0;0;0;0;
AGRIOLI;11;0;;0;0;0;0;0;0;0;0;0;
SECHI;11;0;;0;0;0;0;0;0;0;0;0;
CACIOPPINI;11;0;;0;0;0;0;0;0;0;0;0;
SCORNAIENCHI;11;0;;0;0;0;0;0;0;0;0;0;
CADRINGHER;11;0;;0;0;0;0;0;0;0;0;0;
VAIRETTI;11;0;;0;0;0;0;0;0;0;0;0;
FARINA;11;0;;0;0;0;0;0;0;0;0;0;
PAPA;10;0;;0;0;0;0;0;0;0;0;0;
TURI;10;0;;0;0;0;0;0;0;0;0;0;
ARMELLI;10;0;;0;0;0;0;0;0;0;0;0;
CAPIZZI;10;0;;0;0;0;0;0;0;0;0;0;
VERDERIO;10;0;;0;0;0;0;0;0;0;0;0;
GIACONI;10;0;;0;0;0;0;0;0;0;0;0;
CAGGEGGI;10;0;;0;0;0;0;0;0;0;0;0;
FULLA;10;0;;0;0;0;0;0;0;0;0;0;
TOVI;10;0;;0;0;0;0;0;0;0;0;0;
ZAVATTARO;10;0;;0;0;0;0;0;0;0;0;0;
ABATICOLA;10;0;;0;0;0;0;0;0;0;0;0;
ADINOLFI;10;0;;0;0;0;0;0;0;0;0;0;
PASCOLI;10;0;;0;0;0;0;0;0;0;0;0;
LELLIS;10;0;;0;0;0;0;0;0;0;0;0;
ZIBORDI;9;0;;0;0;0;0;0;0;0;0;0;
ZELMI;9;0;;0;0;0;0;0;0;0;0;0;
VANNINI;7;0;;0;0;0;0;0;0;0;0;0;
